Name,Rank,Price
1,Clash Royale,Free
2,Game of War - Fire Age,Free
3,Candy Crush Saga,Free
4,Clash of Clans,Free
5,Mobile Strike,Free
6,Candy Crush Soda Saga,Free
7,Pokémon GO,Free
8,MARVEL Contest of Champions,Free
9,Summoners War,Free
10,Big Fish Casino – Best Vegas Slot...,Free
11,Slotomania Casino Slots Games–...,Free
12,Yu-Gi-Oh! Duel Links,Free
13,Toy Blast,Free
14,8 Ball Pool™,Free
15,Star Wars™: Galaxy of Heroes,Free
16,Gardenscapes - New Acres,Free
17,CSR Racing 2,Free
18,MADDEN NFL Mobile,Free
19,Slots - House of Fun Vegas Casino...,Free
20,Choices: Stories You Play,Free
21,Jackpot Party Casino Slots-Vegas...,Free
22,War Dragons,Free
23,Episode - Choose Your Story,Free
24,MLB Tap Sports Baseball 2017,Free
25,Heart of Vegas Slots – Casino Slot...,Free
26,DoubleDown Casino & Slots  –...,Free
27,Angry Birds 2,Free
28,DRAGON BALL Z DOKKAN BATTLE,Free
29,Hearthstone,Free
30,Bubble Witch 3 Saga,Free
31,ROBLOX,Free
32,World Series of Poker - WSOP Free...,Free
33,Clash of Kings - CoK,Free
34,Hay Day,Free
35,Panda Pop,Free
36,Blades and Rings,Free
37,Cookie Jam,Free
38,Golf Clash,Free
39,Candy Crush Jelly Saga,Free
40,Design Home,Free
41,Pokémon Duel,Free
42,NBA LIVE Mobile Basketball,Free
43,Fishdom,Free
44,انتقام السلاطين,Free
45,Lords Mobile,Free
46,King of Avalon: Dragon Warfare,Free
47,Slots - Huuuge Casino: Free Slot...,Free
48,Fire Emblem Heroes,Free
49,Township,Free
50,Angry Birds Blast,Free
51,Scatter Slots - Vegas Casino Slot...,Free
52,KINGDOM HEARTS Union χ[Cross],Free
53,Minecraft: Pocket Edition,$6.99
54,Farm Heroes Saga,Free
55,Boom Beach,Free
56,Legacy of Discord - Furious Wings,Free
57,YAHTZEE® With Buddies: The Classic...,Free
58,Zynga Poker - Texas Holdem,Free
59,Wizard of Oz - Vegas Casino Slot...,Free
60,Gummy Drop! – A Match 3 Puzzle Game,Free
61,Bingo Blitz: Bingo Rooms &...,Free
62,Caesars Slots – Slot Machines Games,Free
63,Cooking Fever,Free
64,Wizard of OZ: Magic Match,Free
65,"DoubleU Casino - Hot Slots, Video...",Free
66,SimCity BuildIt,Free
67,The Sims™ FreePlay,Free
68,Solitaire TriPeaks: Classic Card...,Free
69,Word Cookies!,Free
70,Hit it Rich! Casino Slots - Slot...,Free
71,The Walking Dead: Road to Survival...,Free
72,Pet Rescue Saga,Free
73,my KONAMI Slots - Vegas Casino...,Free
74,Evony - The King's Return,Free
75,Legendary - Game of Heroes,Free
76,Invasion: Modern Empire,Free
77,Vikings: War of Clans,Free
78,FINAL FANTASY BRAVE EXVIUS,Free
