Name,Rank,Price
1,Minecraft: Pocket Edition,$6.99
2,Plague Inc.,$0.99
3,Heads Up!,$0.99
4,Bloons TD 5,$2.99
5,Flick Home Run !,$0.99
6,Geometry Dash,$1.99
7,The Escapists,$3.99
8,MONOPOLY Game,$0.99
9,NBA 2K17,$7.99
10,Grand Theft Auto: San Andreas,$6.99
11,Dictator: Revolt,$0.99
12,True Skate,$1.99
13,Goat Simulator,$1.99
14,Plants vs. Zombies,$0.99
15,The Game of Life,$2.99
16,SpongeBob Moves In,$2.99
17,Terraria,$4.99
18,Papa's Freezeria To Go!,$0.99
19,Tiny Wings,$0.99
20,OK Golf,$2.99
21,Tamagotchi Classic - The Original...,$0.99
22,R.B.I. Baseball 17,$4.99
23,Five Nights at Freddy's:...,$2.99
24,NBA JAM by EA SPORTS™,$4.99
25,Scribblenauts Unlimited,$4.99
26,Five Nights at Freddy's,$2.99
27,Slayaway Camp,$2.99
28,Scribblenauts Remix,$0.99
29,polycolor,$0.99
30,50 States (Ad Free) - Top...,$0.99
31,Hitman Sniper,$0.99
32,Five Nights at Freddy's 2,$2.99
33,Earn to Die 2,$1.99
34,The Sims 3,$6.99
35,Bike Race Pro - Top Motorcycle...,$0.99
36,Grand Theft Auto: Vice City,$4.99
37,A Dark Room,$0.99
38,Papa's Cupcakeria To Go!,$1.99
39,Papa's Taco Mia To Go!,$1.99
40,Call of Duty: Zombies,$4.99
41,Ultimate Forest Simulator,$0.99
42,Monument Valley,$3.99
43,Papa's Burgeria To Go!,$0.99
44,Death Road to Canada,$7.99
45,"sugar, sugar",$0.99
46,Construction Simulator 2,$4.99
47,Reigns,$2.99
48,Doodle Jump,$0.99
49,Papa's Pizzeria To Go!,$0.99
50,Zombieville USA 2,$0.99
51,Where's My Water?,$1.99
52,Five Nights at Freddys 4,$2.99
53,Truck Simulator PRO 2,$4.99
54,Call of Duty: Black Ops Zombies,$6.99
55,"Skater - Skate Legendary Spots,...",$4.99
56,Bully: Anniversary Edition,$6.99
57,Backflip Madness,$0.99
58,Sonic The Hedgehog,$2.99
59,Chameleon Run,$1.99
60,Infinite Flight - Flight Simulator,$4.99
61,Don't Starve: Pocket Edition,$4.99
62,OXENFREE,$4.99
63,Civilization Revolution 2,$9.99
64,Grand Theft Auto III,$4.99
65,Surgeon Simulator,$1.99
66,IMPOSSIBLE ROAD,$1.99
67,CUBE SNAP,$0.99
68,Assassin's Creed Identity,$4.99
69,Survivalcraft 2,$3.99
70,RollerCoaster Tycoon® Classic,$5.99
71,Jazza's Arty Games,$2.99
72,Sunday Lawn,$0.99
73,Exploding Kittens® - The Official...,$1.99
74,Duck Life,$0.99
75,JEOPARDY! - America's Favorite...,$1.99
76,Five Nights at Freddy's 3,$2.99
77,Trivia Crack (Ad Free),$2.99
78,LIMBO,$4.99
